Bronx Rolling Sales File.  All Sales From May 2015 - April 2016.,,,,,,,,,,,,,,,,,,,,
Sales File as of 4/30/2016  Co-op Sales Files as of 4/30/2016,,,,,,,,,,,,,,,,,,,,
"Neighborhood Name 5/1/2016, Descriptive Data is as of 5/1/2016",,,,,,,,,,,,,,,,,,,,
Building Class Category is based on Building Class at Time of Sale.,,,,,,,,,,,,,,,,,,,,
BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASE-MENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE, SALE PRICE ,SALE DATE
2,BATHGATE                 ,01  ONE FAMILY DWELLINGS                    ,1,2905,28, ,A9,1665 WASHINGTON AVENUE                   ,            ,10457,1,0,1,4750,2619,1899,1,A9, $-   ,8/7/15
2,BATHGATE                 ,01  ONE FAMILY DWELLINGS                    ,1,2905,28, ,A9,1665 WASHINGTON AVENUE                   ,            ,10457,1,0,1,4750,2619,1899,1,A9, $-   ,8/7/15
2,BATHGATE                 ,01  ONE FAMILY DWELLINGS                    ,1,3035,2, ,S1,441 EAST 178 STREET                      ,            ,10457,1,1,2,1287,2528,1899,1,S1, $-   ,12/18/15
2,BATHGATE                 ,01  ONE FAMILY DWELLINGS                    ,1,3039,36, ,S1,455 EAST 184 STREET                      ,            ,10458,1,1,2,2500,2452,1910,1,S1, $-   ,8/18/15
2,BATHGATE                 ,01  ONE FAMILY DWELLINGS                    ,1,3039,36, ,S1,455 EAST 184 STREET                      ,            ,10458,1,1,2,2500,2452,1910,1,S1," $400,000 ",7/1/15
2,BATHGATE                 ,01  ONE FAMILY DWELLINGS                    ,1,3053,86, ,S0,2364 WASHINGTON AVENUE                   ,            ,10458,1,2,3,1911,4080,1931,1,S0, $-   ,3/17/16
2,BATHGATE                 ,01  ONE FAMILY DWELLINGS                    ,1,3053,102, ,A1,2329 BASSFORD AVENUE                     ,            ,10458,1,0,1,919,1248,1901,1,A1, $-   ,1/19/16
2,BATHGATE                 ,02  TWO FAMILY DWELLINGS                    ,1,2900,61, ,S2,406 EAST TREMONT AVENUE                  ,            ,10457,2,1,3,1855,4452,1931,1,S2," $399,000 ",2/24/16
2,BATHGATE                 ,02  TWO FAMILY DWELLINGS                    ,1,2912,117, ,B1,1538 WASHINGTON AVENUE                   ,            ,10457,2,0,2,2000,2400,1993,1,B1," $493,000 ",4/13/16
2,BATHGATE                 ,02  TWO FAMILY DWELLINGS                    ,1,2912,118, ,B1,1540 WASHINGTON AVENUE                   ,            ,10457,2,0,2,2000,2400,1993,1,B1, $-   ,12/12/15
2,BATHGATE                 ,02  TWO FAMILY DWELLINGS                    ,1,2912,139, ,B1,3823 3 AVENUE                            ,            ,10457,2,0,2,2000,2400,1993,1,B1," $430,000 ",8/4/15
2,BATHGATE                 ,02  TWO FAMILY DWELLINGS                    ,1,2912,152, ,B1,517 EAST 171 STREET                      ,            ,10457,2,0,2,2000,2400,1993,1,B1," $10,000 ",6/2/15
2,BATHGATE                 ,02  TWO FAMILY DWELLINGS                    ,1,2929,126, ,B1,1557 FULTON AVENUE                       ,            ,10457,2,0,2,3165,2394,1995,1,B1," $505,000 ",8/5/15
2,BATHGATE                 ,02  TWO FAMILY DWELLINGS                    ,1,3030,149, ,S2,2260 WEBSTER AVENUE                      ,            ,10457,2,1,3,1620,3240,1931,1,S2," $550,000 ",3/11/16
2,BATHGATE                 ,02  TWO FAMILY DWELLINGS                    ,1,3030,151, ,S2,2264 WEBSTER AVENUE                      ,            ,10457,2,1,3,1620,3240,1931,1,S2," $490,000 ",9/28/15
2,BATHGATE                 ,02  TWO FAMILY DWELLINGS                    ,1,3030,202, ,B3,4465 PARK AVE                            ,            ,10457,2,0,2,1569,1497,1899,1,B3," $1,000 ",12/28/15
2,BATHGATE                 ,02  TWO FAMILY DWELLINGS                    ,1,3030,202, ,B3,4465 PARK AVE                            ,            ,10457,2,0,2,1569,1497,1899,1,B3," $1,000 ",10/20/15
2,BATHGATE                 ,02  TWO FAMILY DWELLINGS                    ,1,3030,203, ,B3,4461 PARK AVENUE                         ,            ,10457,2,0,2,1592,1860,1899,1,B3," $100,000 ",8/20/15
2,BATHGATE                 ,02  TWO FAMILY DWELLINGS                    ,1,3035,140, ,B1,1983 WASHINGTON AVENUE                   ,            ,10457,2,0,2,4124,2340,1998,1,B1," $228,000 ",11/16/15
2,BATHGATE                 ,02  TWO FAMILY DWELLINGS                    ,1,3036,16, ,B2,4354 PARK AVENUE                         ,            ,10457,2,0,2,3525,2316,1899,1,B2," $128,778 ",5/29/15
2,BATHGATE                 ,02  TWO FAMILY DWELLINGS                    ,1,3039,30, ,B1,469B EAST 184 STREET                     ,            ,10458,2,0,2,741,2133,2006,1,B1, $-   ,10/13/15
2,BATHGATE                 ,02  TWO FAMILY DWELLINGS                    ,1,3039,30, ,B1,469B EAST 184 STREET                     ,            ,10458,2,0,2,741,2133,2006,1,B1," $311,298 ",9/11/15
2,BATHGATE                 ,02  TWO FAMILY DWELLINGS                    ,1,3045,4, ,B1,2034 BATHGATE AVENUE                     ,            ,10457,2,0,2,1575,1710,1998,1,B1, $-   ,9/9/15
2,BATHGATE                 ,02  TWO FAMILY DWELLINGS                    ,1,3050,65, ,B2,508 EAST 183 STREET                      ,            ,10458,2,0,2,1316,2112,1901,1,B2," $449,000 ",6/8/15
2,BATHGATE                 ,02  TWO FAMILY DWELLINGS                    ,1,3050,85, ,B1,2241 BATHGATE AVENUE                     ,            ,10457,2,0,2,1562,2536,2004,1,B1," $430,000 ",2/3/16
2,BATHGATE                 ,02  TWO FAMILY DWELLINGS                    ,1,3050,93, ,B2,2238 BASSFORD AVENUE                     ,            ,10457,2,0,2,1301,2300,1901,1,B2," $495,000 ",4/13/16
2,BATHGATE                 ,02  TWO FAMILY DWELLINGS                    ,1,3050,93, ,B2,2238 BASSFORD AVENUE                     ,            ,10457,2,0,2,1301,2300,1901,1,B2," $261,000 ",9/25/15
2,BATHGATE                 ,02  TWO FAMILY DWELLINGS                    ,1,3053,109, ,B3,2315 BASSFORD AVENUE                     ,            ,10458,2,0,2,1202,1966,1901,1,B3," $480,000 ",3/17/16
2,BATHGATE                 ,02  TWO FAMILY DWELLINGS                    ,1,3053,109, ,B3,2315 BASSFORD AVENUE                     ,            ,10458,2,0,2,1202,1966,1901,1,B3," $232,215 ",8/18/15
2,BATHGATE                 ,03  THREE FAMILY DWELLINGS                  ,1,3038,125, ,C0,468 E 183 STREET                         ,            ,10458,3,0,3,1216,2916,2004,1,C0," $435,919 ",5/29/15
2,BATHGATE                 ,03  THREE FAMILY DWELLINGS                  ,1,3038,126, ,C0,470 EAST 183RD STREET                    ,            ,10458,3,0,3,1278,2955,2004,1,C0, $-   ,10/21/15
2,BATHGATE                 ,03  THREE FAMILY DWELLINGS                  ,1,3038,126, ,C0,470 EAST 183 STREET                      ,            ,10458,3,0,3,1278,2955,2004,1,C0," $400,000 ",6/18/15
2,BATHGATE                 ,03  THREE FAMILY DWELLINGS                  ,1,3047,29, ,C0,2108 BATHGATE AVE                        ,            ,10457,3,0,3,1650,3316,2005,1,C0," $450,000 ",2/1/16
2,BATHGATE                 ,03  THREE FAMILY DWELLINGS                  ,1,3047,29, ,C0,2108 BATHGATE AVENUE                     ,            ,10457,3,0,3,1650,3316,2005,1,C0, $-   ,9/9/15
2,BATHGATE                 ,03  THREE FAMILY DWELLINGS                  ,1,3047,29, ,C0,2108 BATHGATE                            ,            ,10457,3,0,3,1650,3316,2005,1,C0," $452,000 ",9/9/15
2,BATHGATE                 ,03  THREE FAMILY DWELLINGS                  ,1,3050,129, ,C0,2261 BASSFORD AVENUE                     ,            ,10457,3,0,3,1739,2730,2003,1,C0," $658,620 ",5/11/15
2,BATHGATE                 ,03  THREE FAMILY DWELLINGS                  ,1,3053,122, ,C0,508 EAST 184TH STREET                    ,            ,10458,3,0,3,1269,2936,2005,1,C0," $457,314 ",9/4/15
2,BATHGATE                 ,05  TAX CLASS 1 VACANT LAND                 ,1B,2912,161, ,V3,CLAREMONT PARKWAY                        ,            ,10457,0,0,0,29400,0,0,1,V3," $75,000 ",12/23/15
2,BATHGATE                 ,05  TAX CLASS 1 VACANT LAND                 ,1B,3050,78, ,V0,BATHGATE AVENUE                          ,            ,10457,0,0,0,2025,0,0,1,V0, $-   ,11/27/15
2,BATHGATE                 ,06  TAX CLASS 1 - OTHER                     ,1,3050,100, ,G0,2250 BASSFORD                            ,            ,10457,0,0,0,2616,0,1950,1,G0," $275,000 ",3/17/16
2,BATHGATE                 ,07  RENTALS - WALKUP APARTMENTS             ,2,2912,1, ,C7,481 EAST 171 STREET                      ,            ,10457,13,2,15,2964,13685,1925,2,C7, $-   ,2/22/16
2,BATHGATE                 ,07  RENTALS - WALKUP APARTMENTS             ,2,2912,2, ,C1,1514 WASHINGTON AVENUE                   ,            ,10457,11,0,11,2600,11784,1925,2,C1, $-   ,2/22/16
2,BATHGATE                 ,07  RENTALS - WALKUP APARTMENTS             ,2,2927,54, ,C1,1473 FULTON AVENUE                       ,            ,10456,20,0,20,5625,22500,1912,2,C1," $3,682,769 ",3/1/16
2,BATHGATE                 ,07  RENTALS - WALKUP APARTMENTS             ,2B,3031,19, ,C1,2338 WEBSTER AVE                         ,            ,10458,8,0,8,3002,8884,1931,2,C1," $1,075,000 ",4/15/16
2,BATHGATE                 ,07  RENTALS - WALKUP APARTMENTS             ,2,3031,60, ,C1,4589 PARK AVENUE                         ,            ,10458,25,0,25,4779,18975,1912,2,C1," $3,443,023 ",3/1/16
2,BATHGATE                 ,07  RENTALS - WALKUP APARTMENTS             ,2,3031,63, ,C1,4585 PARK AVENUE                         ,            ,10458,25,0,25,4787,18975,1912,2,C1," $3,364,440 ",3/1/16
2,BATHGATE                 ,07  RENTALS - WALKUP APARTMENTS             ,2B,3032,3, ,C1,2408 WEBSTER AVENUE                      ,            ,10458,8,0,8,3441,9240,1909,2,C1," $1,150,000 ",9/1/15
2,BATHGATE                 ,07  RENTALS - WALKUP APARTMENTS             ,2B,3032,6, ,C7,2420 WEBSTER AVENUE                      ,            ,10458,8,1,9,4444,9333,1909,2,C7," $1,150,000 ",9/1/15
2,BATHGATE                 ,07  RENTALS - WALKUP APARTMENTS             ,2B,3035,23, ,C1,446 E 179 STREET                         ,            ,10457,8,0,8,2805,8712,1910,2,C1," $850,000 ",3/14/16
2,BATHGATE                 ,07  RENTALS - WALKUP APARTMENTS             ,2,3040,7, ,C7,444 EAST 187 STREET                      ,            ,10458,28,2,30,5000,22500,1926,2,C7," $4,608,457 ",3/1/16
